제주 대분류,제주 중분류,업종명,성별,연령대별, 카드이용금액 , 카드이용건수 
서귀포시,대륜동,농축수산품,여,50대,14434000,67
서귀포시,대륜동,농축수산품,남,50대,15119000,72
서귀포시,대륜동,농축수산품,여,40대,7609500,41
서귀포시,남원읍,농축수산품,남,50대,7092500,40
서귀포시,대륜동,농축수산품,남,40대,9098500,59
제주시,연동,스포츠레져용품,남,50대,10267600,71
서귀포시,예래동,농축수산품,남,50대,4125000,30
제주시,연동,스포츠레져용품,여,40대,7412800,55
제주시,연동,스포츠레져용품,여,30대,11925400,95
서귀포시,남원읍,골프 용품,남,50대,1727400,14
제주시,연동,악세 사리,남,50대,1197800,10
제주시,이도2동,스포츠레져용품,여,30대,1177000,10
제주시,삼도2동,농축수산품,남,50대,1741000,15
제주시,연동,스포츠레져용품,남,30대,14132700,122
제주시,용담2동,의원,남,40대,1273970,11
제주시,노형동,스포츠레져용품,남,50대,1363200,12
제주시,이도2동,스포츠레져용품,남,40대,1574500,14
제주시,연동,스포츠레져용품,남,40대,11930300,109
제주시,연동,스포츠레져용품,여,50대,5034200,46
제주시,노형동,안경,남,40대,1175000,11
제주시,이도2동,스포츠레져용품,남,30대,2232500,21
제주시,이도2동,스포츠레져용품,남,50대,1060000,10
제주시,연동,의원,여,50대,3348200,32
제주시,삼도2동,스포츠레져용품,남,50대,3209500,31
서귀포시,대륜동,농축수산품,남,30대,6990000,68
제주시,연동,정장(여성),남,30대,4477100,44
제주시,연동,농축수산품,남,40대,4167700,42
제주시,삼도2동,정장(여성),여,50대,1974700,20
제주시,삼도2동,의원,남,40대,1380100,14
제주시,삼도2동,농축수산품,남,40대,1966000,20
제주시,삼도2동,의원,여,20대,1367500,14
제주시,노형동,스포츠레져용품,남,30대,1362500,14
제주시,이도2동,안경,남,30대,1736000,18
제주시,노형동,스포츠레져용품,남,40대,2010800,21
서귀포시,예래동,농축수산품,남,30대,7605900,80
제주시,이도2동,정장(여성),여,30대,4071200,43
제주시,연동,농축수산품,남,50대,4813300,51
제주시,연동,정장(여성),여,50대,2629300,28
제주시,삼도2동,스포츠레져용품,여,50대,1217400,13
제주시,연동,정장(여성),남,40대,1684800,18
제주시,삼도2동,농축수산품,남,30대,1306000,14
제주시,이도2동,농축수산품,남,50대,18255120,197
서귀포시,남원읍,농축수산품,여,50대,2122900,23
제주시,연동,농축수산품,여,20대,1013000,11
제주시,연동,스포츠레져용품,남,20대,4747700,52
제주시,삼도2동,악세 사리,남,40대,995200,11
서귀포시,예래동,농축수산품,여,40대,1969800,22
제주시,연동,스포츠레져용품,여,20대,7965600,89
제주시,노형동,농축수산품,남,50대,4441700,50
제주시,애월읍,골프 용품,남,50대,963600,11
제주시,삼도2동,스포츠레져용품,남,20대,1648400,19
제주시,삼도2동,농축수산품,여,50대,2069000,24
제주시,이도2동,농축수산품,여,50대,12952450,153
제주시,연동,기념품 점,남,40대,2537000,31
제주시,연동,악세 사리,여,50대,1470700,18
제주시,노형동,농축수산품,여,50대,2265500,28
제주시,노형동,정장(여성),여,30대,1920300,24
